French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
mois,month
frère,brother
car,because
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
affaire,case
donner,give
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
perdu,lost
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
compte,account
donne,given
loin,far
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
